"id","bus_name","bus_type","start_time","end_time","total_duration","price","seats_available","ratings","route_link","route_name"
33,"CGR Travels","NON A/C Semi Sleeper / Sleeper (2+1)","20:10","05:45","09h 35m","900","16 Seats available","3.7","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
34,"Sri Vengamamba Bus Transport (SVBT)","A/C Seater / Sleeper (2+1)","22:30","06:05","07h 35m","712","19 Seats available","4.5","https://www.redbus.in/bus-tickets/ongole-to-hyderabad","Ongole to Hyderabad"
35,"V Kaveri Travels","Scania AC Multi Axle Sleeper (2+1)","23:20","06:25","07h 05m","1200","19 Seats available","4.3","https://www.redbus.in/bus-tickets/ongole-to-hyderabad","Ongole to Hyderabad"
36,"V Kaveri Travels","Volvo Multi-Axle A/C Sleeper (2+1)","22:00","06:10","08h 10m","1000","18 Seats available","4.2","https://www.redbus.in/bus-tickets/ongole-to-hyderabad","Ongole to Hyderabad"
37,"Chandu Travels","A/C Sleeper (2+1)","23:35","06:30","06h 55m","684","16 Seats available","4.2","https://www.redbus.in/bus-tickets/ongole-to-hyderabad","Ongole to Hyderabad"
38,"V Kaveri Travels","NON A/C Sleeper (2+1)","22:45","06:10","07h 25m","900","20 Seats available","4.2","https://www.redbus.in/bus-tickets/ongole-to-hyderabad","Ongole to Hyderabad"
39,"APSRTC - 6014","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:30","11:00","06h 30m","439","30 Seats available","4.2","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
40,"APSRTC - 50012","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","05:30","12:00","06h 30m","439","34 Seats available","2.7","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
41,"APSRTC - 6004","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","07:00","13:30","06h 30m","439","34 Seats available","3","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
42,"APSRTC - 6016","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","08:00","14:30","06h 30m","439","34 Seats available","2.6","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
43,"APSRTC - 50078","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","09:00","15:50","06h 50m","439","29 Seats available","4.4","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
44,"Abhishek Bus","Scania Multi-Axle AC Semi Sleeper (2+2)","22:05","06:20","08h 15m","399","25 Seats available","4.3","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
45,"Sri Vinayaka Travels","NON A/C Sleeper (2+1)","22:30","04:45","06h 15m","599","10 Seats available","4.4","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
46,"Sri Vinayaka Travels","NON A/C Seater/ Sleeper (2+1)","22:30","05:00","06h 30m","399","24 Seats available","4","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
47,"S R Travels","Non A/C Seater / Sleeper (2+1)","22:40","05:00","06h 20m","700","35 Seats available","3.8","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
48,"S R Travels","Non A/C Seater / Sleeper (2+1)","22:40","05:15","06h 35m","800","40 Seats available","3.4","https://www.redbus.in/bus-tickets/kadapa-to-bangalore","Kadapa to Bangalore"
49,"APSRTC - 5118","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","01:30","04:20","02h 50m","277","25 Seats available","3.8","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
50,"APSRTC - 9035","Express(Non AC Seater)","04:00","07:00","03h 00m","186","17 Seats available","4.2","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
51,"APSRTC - 9057","Express(Non AC Seater)","04:30","07:45","03h 15m","186","43 Seats available","4.1","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
52,"APSRTC - 9129","Express(Non AC Seater)","05:00","08:25","03h 25m","186","45 Seats available","3.9","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
53,"APSRTC - 9037","Express(Non AC Seater)","05:30","08:55","03h 25m","186","38 Seats available","4.1","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
54,"NueGo","Electric A/C Seater (2+2)","00:30","05:10","04h 40m","332","4 Seats available","3.4","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
55,"RK Travels","Non A/C Seater / Sleeper (2+1)","00:30","06:00","05h 30m","399","20 Seats available","3","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
56,"RK Travels","A/C Seater / Sleeper (2+1)","01:10","06:00","04h 50m","499","23 Seats available","3.8","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
57,"RK Travels","A/C Seater / Sleeper (2+1)","01:10","06:00","04h 50m","399","25 Seats available","4","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
58,"NueGo","Electric A/C Seater (2+2)","01:40","04:40","03h 00m","361","34 Seats available","3.7","https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore","Chittoor (Andhra Pradesh) to Bangalore"
59,"APSRTC - 23892","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:25","04:25","04h 00m","281","7 Seats available","4.8","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
60,"APSRTC - 2768","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","01:00","05:00","04h 00m","281","33 Seats available","4.7","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
61,"APSRTC - 2858","ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)","01:30","05:10","03h 40m","269","35 Seats available","2.6","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
62,"APSRTC - 3473","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","03:30","08:00","04h 30m","281","34 Seats available","3.9","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
63,"APSRTC - 23552","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:00","08:30","04h 30m","281","31 Seats available","4.8","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
64,"Navayuga Travels","A/C Sleeper (2+1)","22:00","02:10","04h 10m","990","18 Seats available","3.6","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
65,"Sai RK Travels","Non A/C Seater / Sleeper (2+1)","22:40","02:30","03h 50m","750","23 Seats available","4.4","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
66,"Morning Star Travels","A/C Sleeper (2+1)","21:10","02:25","05h 15m","990","18 Seats available","2.7","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
67,"Gaganasri Travels","Non A/C Seater / Sleeper (2+1)","23:10","03:00","03h 50m","5000","1 Seat available","0","https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada","Visakhapatnam to Kakinada"
68,"IntrCity SmartBus","A/C Seater / Sleeper (2+1)","19:35","23:35","04h 00m","1377","21 Seats available","4.6","https://www.redbus.in/bus-tickets/bangalore-to-ananthapur","Bangalore to Anantapur (andhra pradesh)"
69,"IntrCity SmartBus","A/C Sleeper (2+1)","20:15","00:10","03h 55m","1590","29 Seats available","4.5","https://www.redbus.in/bus-tickets/bangalore-to-ananthapur","Bangalore to Anantapur (andhra pradesh)"
70,"Zingbus Plus","A/C Sleeper (2+1)","20:05","23:35","03h 30m","1710","24 Seats available","4.8","https://www.redbus.in/bus-tickets/bangalore-to-ananthapur","Bangalore to Anantapur (andhra pradesh)"
71,"IntrCity SmartBus","AC Sleeper (2+1)","20:35","00:20","03h 45m","1533","32 Seats available","4.2","https://www.redbus.in/bus-tickets/bangalore-to-ananthapur","Bangalore to Anantapur (andhra pradesh)"
72,"Sugama Tourist","NON A/C Sleeper (2+1)","22:45","03:00","04h 15m","1000","13 Seats available","4.6","https://www.redbus.in/bus-tickets/bangalore-to-ananthapur","Bangalore to Anantapur (andhra pradesh)"
73,"APSRTC - 9048","Express(Non AC Seater)","03:30","08:40","05h 10m","186","17 Seats available","4.4","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
74,"APSRTC - 47021","Express(Non AC Seater)","04:30","09:30","05h 00m","186","12 Seats available","4.2","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
75,"APSRTC - 47023","Express(Non AC Seater)","05:15","10:30","05h 15m","217","40 Seats available","4.4","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
76,"APSRTC - 9042","Express(Non AC Seater)","06:00","11:10","05h 10m","220","24 Seats available","4.1","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
77,"APSRTC - 9062","Express(Non AC Seater)","06:45","12:10","05h 25m","186","12 Seats available","4.2","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
78,"NueGo","Electric A/C Seater (2+2)","05:00","10:10","05h 10m","461","6 Seats available","4.1","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
79,"NueGo","Electric A/C Seater (2+2)","06:00","10:30","04h 30m","332","4 Seats available","4.4","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
80,"NueGo","Electric A/C Seater (2+2)","07:00","11:30","04h 30m","332","13 Seats available","4.3","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
81,"NueGo","Electric A/C Seater (2+2)","09:00","13:30","04h 30m","428","9 Seats available","4","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
82,"NueGo","Electric A/C Seater (2+2)","11:00","16:10","05h 10m","332","1 Seat available","4","https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh","Bangalore to Chittoor (Andhra Pradesh)"
83,"APSRTC - 6532","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:30","05:30","05h 00m","345","3 Seats available","2.1","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
84,"APSRTC - 51500","INDRA(A.C. Seater)","00:40","03:55","03h 15m","433","16 Seats available","3.5","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
85,"APSRTC - 6274","STAR LINER(NON-AC SLEEPER 2+1)","00:45","04:30","03h 45m","464","24 Seats available","4.5","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
86,"APSRTC - 6457","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:45","04:06","03h 21m","340","14 Seats available","3.6","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
87,"APSRTC - 6541","STAR LINER(NON-AC SLEEPER 2+1)","01:30","05:30","04h 00m","412","28 Seats available","4.7","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
88,"YAS TOURS AND TRAVELS","Volvo A/C B11R Multi Axle Semi Sleeper (2+2)","22:10","01:15","03h 05m","1000","32 Seats available","4.6","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
89,"Kallada Travels (Suresh Kallada)","Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2)","21:25","00:25","03h 00m","900","32 Seats available","3.7","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
90,"Go Tour Travels and Holidays","A/C Sleeper (2+1)","05:00","09:00","04h 00m","819","8 Seats available","3.9","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
91,"Kallada Travels (Suresh Kallada)","A/C Sleeper (2+1)","20:05","23:40","03h 35m","1400","17 Seats available","4.5","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
92,"Zingbus Plus","Scania AC Multi Axle Sleeper (2+1)","06:25","10:25","04h 00m","522","10 Seats available","4.2","https://www.redbus.in/bus-tickets/ananthapur-to-bangalore","Anantapur (andhra pradesh) to Bangalore"
93,"Northern Travels","Bharat Benz A/C Seater /Sleeper (2+1)","01:10","05:15","04h 05m","649","19 Seats available","5","https://www.redbus.in/bus-tickets/hyderabad-to-kurnool","Hyderabad to Kurnool"
94,"Royal Rich India","Bharat Benz A/C Sleeper (2+1)","12:20","17:35","05h 15m","650","7 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-kurnool","Hyderabad to Kurnool"
95,"November Travels","Bharat Benz A/C Sleeper (2+1)","18:40","01:15","06h 35m","1010","27 Seats available","3","https://www.redbus.in/bus-tickets/hyderabad-to-kurnool","Hyderabad to Kurnool"
96,"AdDK SAVARKAR TRAVELS","A/C Seater / Sleeper (2+1)","21:10","02:30","05h 20m","1200","21 Seats available","3.8","https://www.redbus.in/bus-tickets/hyderabad-to-kurnool","Hyderabad to Kurnool"
97,"Sri Megha Travels","Non A/C Seater / Sleeper (2+1)","19:05","02:30","07h 25m","808","32 Seats available","3","https://www.redbus.in/bus-tickets/hyderabad-to-kurnool","Hyderabad to Kurnool"
98,"APSRTC - 5095","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:30","04:45","04h 15m","398","18 Seats available","1.8","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
99,"APSRTC - 3870","VENNELA (A.C. SLEEPER)","00:50","04:40","03h 50m","749","4 Seats available","2.5","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
100,"APSRTC - 5091","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:50","05:05","04h 15m","398","30 Seats available","3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
101,"APSRTC - 35291","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","01:00","05:26","04h 26m","398","32 Seats available","3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
102,"APSRTC - 5027","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","01:30","05:45","04h 15m","398","16 Seats available","4.3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
103,"Komitla Trans lines.","A/C Sleeper (2+1)","00:50","06:41","05h 51m","444","1 Seat available","3.3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
104,"GKT TRAVELS","A/C Seater/Sleeper (2+1)","00:50","05:00","04h 10m","403","13 Seats available","3.1","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
105,"IRA Travels","Bharat Benz A/C Sleeper (2+1)","01:00","06:30","05h 30m","500","2 Seats available","4","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
106,"LUCKY TRAVELS","A/C Sleeper (2+1)","01:10","05:25","04h 15m","649","5 Seats available","3.3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
107,"ASHITHA TRAVELS","A/C Sleeper (2+1)","01:10","05:05","03h 55m","759","1 Seat available","4.3","https://www.redbus.in/bus-tickets/tirupathi-to-bangalore","Tirupati to Bangalore"
108,"APSRTC - 45141","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","08:35","14:40","06h 05m","464","14 Seats available","3.6","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
109,"APSRTC - 4482","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","22:00","02:55","04h 55m","427","12 Seats available","3.5","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
110,"APSRTC - 4537","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","22:05","03:10","05h 05m","427","9 Seats available","4.2","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
111,"APSRTC - 4553","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","22:15","03:25","05h 10m","427","26 Seats available","4.5","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
112,"APSRTC - 4526","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","22:35","03:40","05h 05m","427","5 Seats available","3.9","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
113,"VSN Travels","A/C Sleeper (2+1)","22:40","05:30","06h 50m","690","17 Seats available","4","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
114,"Kundana Travels","Non A/C Seater / Sleeper (2+1)","22:45","05:55","07h 10m","349","20 Seats available","4","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
115,"Sai Balaji Travels","Non A/C Seater / Sleeper (2+1)","22:45","04:15","05h 30m","410","20 Seats available","3.8","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
116,"Kundana Travels","NON A/C Seater (2+2)","22:45","05:55","07h 10m","990","30 Seats available","4","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
117,"Lakshmi Gayatri Travels","NON A/C Hi-Tech (2+2)","22:50","04:55","06h 05m","399","13 Seats available","3.1","https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad","Narasaraopet to Hyderabad"
118,"APSRTC - 4586","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","09:00","15:09","06h 09m","467","16 Seats available","3.2","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
119,"APSRTC - 45860","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","10:30","16:39","06h 09m","467","17 Seats available","4.1","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
120,"APSRTC - 5984","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","21:15","02:45","05h 30m","467","31 Seats available","3.2","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
121,"APSRTC - 4590","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","21:30","02:45","05h 15m","467","29 Seats available","2.8","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
122,"APSRTC - 4578","INDRA(A.C. Seater)","22:00","02:44","04h 44m","565","15 Seats available","3.8","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
123,"JOSH BUS","Non A/C Seater / Sleeper (2+1)","22:45","06:00","07h 15m","560","16 Seats available","4.3","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
124,"Kamakshi Tours And Travels","A/C Seater / Sleeper (2+1)","22:25","06:20","07h 55m","700","15 Seats available","4.3","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
125,"Kaveri Travels","A/C Sleeper (2+1)","22:55","05:00","06h 05m","800","29 Seats available","3.8","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
126,"V Kaveri Travels","Non A/C Seater / Sleeper (2+1)","22:45","05:30","06h 45m","600","14 Seats available","4","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
127,"Sri Krishna Travels","NON A/C Semi Sleeper / Sleeper (2+1)","23:05","05:30","06h 25m","600","31 Seats available","3.7","https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad","Vinukonda to Hyderabad"
